url,celltype,tool,dataset_key,concatenation_key,assembly,reference epigenome,unique_key,feature_aggregation_tab,signal_distribution_tab,unique_key
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmK562HMM.bed.gz,K562,ChromHMM,chromhmm9,chromhmm9,hg19,ENCSR612NLL,K562_chromhmm9,gs://segway-testing/segway/278ceaa6-295d-430d-a00a-f9533d98a82c/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/278ceaa6-295d-430d-a00a-f9533d98a82c/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,K562_chromhmm9
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E123_15_coreMarks_mnemonics.bed.gz,K562,ChromHMM,roadmap15,roadmap15,hg19,ENCSR612NLL,K562_roadmap15,gs://segway-testing/segway/15ae5710-c1fe-4175-99d0-33da1190e15a/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/15ae5710-c1fe-4175-99d0-33da1190e15a/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,K562_roadmap15
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/core_K27ac/jointModel/final/E123_18_core_K27ac_mnemonics.bed.gz,K562,ChromHMM,roadmap18,roadmap18,hg19,ENCSR612NLL,K562_roadmap18,gs://segway-testing/segway/df304043-9eea-4228-98de-7f673f4ddb66/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/df304043-9eea-4228-98de-7f673f4ddb66/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,K562_roadmap18
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/imputed12marks/jointModel/final/E123_25_imputed12marks_mnemonics.bed.gz,K562,ChromHMM,roadmap25,roadmap25,hg19,ENCSR612NLL,K562_roadmap25,gs://segway-testing/segway/01019b29-aeb0-4b54-aa39-cbcc798dc80b/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/01019b29-aeb0-4b54-aa39-cbcc798dc80b/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,K562_roadmap25
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationSegwayK562.bed.gz,K562,Segway,segway_nar,segway_nar_K562,hg19,ENCSR612NLL,K562_segway_nar,gs://segway-testing/segway/590b074d-de0a-4e9e-b584-8f93f1090de9/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/590b074d-de0a-4e9e-b584-8f93f1090de9/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,K562_segway_nar
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmNhekHMM.bed.gz,NHEK,ChromHMM,chromhmm9,chromhmm9,hg19,ENCSR612NLL,NHEK_chromhmm9,gs://segway-testing/segway/54760328-3119-45a5-8974-4a2bff4eb280/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/54760328-3119-45a5-8974-4a2bff4eb280/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,NHEK_chromhmm9
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmNhlfHMM.bed.gz,NHLF,ChromHMM,chromhmm9,chromhmm9,hg19,ENCSR612NLL,NHLF_chromhmm9,gs://segway-testing/segway/562cbfa8-f52e-485b-9fa2-e6ef7fdfcdcd/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/562cbfa8-f52e-485b-9fa2-e6ef7fdfcdcd/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,NHLF_chromhmm9
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E128_15_coreMarks_mnemonics.bed.gz,NHLF,ChromHMM,roadmap15,roadmap15,hg19,ENCSR612NLL,NHLF_roadmap15,gs://segway-testing/segway/11f9aefb-691e-4d62-8344-f3eef31565b2/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/11f9aefb-691e-4d62-8344-f3eef31565b2/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,NHLF_roadmap15
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/core_K27ac/jointModel/final/E128_18_core_K27ac_mnemonics.bed.gz,NHLF,ChromHMM,roadmap18,roadmap18,hg19,ENCSR612NLL,NHLF_roadmap18,gs://segway-testing/segway/287f1ac2-cff6-412a-8d71-576fb0bed123/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/287f1ac2-cff6-412a-8d71-576fb0bed123/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,NHLF_roadmap18
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/imputed12marks/jointModel/final/E128_25_imputed12marks_mnemonics.bed.gz,NHLF,ChromHMM,roadmap25,roadmap25,hg19,ENCSR612NLL,NHLF_roadmap25,gs://segway-testing/segway/87f49efe-024a-41a8-b161-402e639ea4e8/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/87f49efe-024a-41a8-b161-402e639ea4e8/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,NHLF_roadmap25
