orig_label	(04) H3K4me3	(12) internal introns	(08) 5' flanking (1-1000 bp)	(15) 3' flanking (1-1000 bp)	(14) terminal intron	(06) H3K4me1	(05) H3K27ac	(03) H3K36me3	(02) H3K27me3	(09) initial exon	(13) terminal exon	(07) 5' flanking (1000-10000 bp)	(10) initial intron	(01) H3K9me3	(16) 3' flanking (1000-10000 bp)	(11) internal exons
Elon1	0.6125142281444017	2.080880314486821	-0.062144562503435426	0.8358624851182459	1.474507458752221	0.4578048640629884	0.40467703166152685	1.4550990056898223	0.2888518654636314	-0.0582004699604412	1.1589271024491075	-0.29359733089313345	-0.3879651097676327	0.4508824381476798	0.8894640523921368	2.1293463240946373
ElonW	0.610883677959337	1.270548576409108	-0.6694273703135661	0.509184085951215	0.5426660555537317	0.32703057240588146	0.2911763183809156	0.7611144648190268	0.25757969171922734	-0.66104848286128	0.3508862653045609	-0.5857487572478454	-0.869324962405798	0.5408776843324832	0.2877176074421499	1.063198076953408
Ctcf	0.5816239783329065	0.43107300824228345	0.5362940865374636	0.5444978540881502	0.42294954638094223	0.5953926478755833	0.25621788949043744	0.49222967227064757	0.6275158216045162	0.5281586114664928	0.6395279994960458	0.4433580090222277	0.12881246944191405	0.4979175356528354	0.3670893477863253	0.691344326663768
Repr1	0.5865597377125112	0.32602878035407123	0.3634020933435623	0.04004200150478132	0.5301702570532715	0.4516923373982182	0.19642472805230976	0.5670844883979871	1.3145232582478834	0.49379540787994713	0.48965117305133243	0.22786263475011362	0.6437207985833081	0.4523808724420292	0.22134215023544648	0.6139126036811974
EnhF	1.0210990656805115	-0.15794873769394535	0.8490524239706648	0.2850509012503346	0.3246630106905199	2.0048757051058326	1.6445199642388577	0.5666047453628799	0.43768887893395714	0.6860839003475454	0.2929442161899635	0.9826162583708727	0.9284803791095291	0.6605872356121026	0.2962285471216362	-0.06593326788996012
Elon2	0.6613619415715736	1.4710255894628264	-0.2591252352856755	0.5811186515711964	0.9087294214655018	0.6366334024126432	0.49159270577061687	1.1907886456433197	0.3015407099414115	-0.14742071269965665	0.7797639748864177	-0.4362970549770816	0.002717816530100352	0.5472820651887151	0.578206185474344	1.557973185793172
Quies	0.4608964598530484	-1.28748918274683	-1.4113499498882545	-0.6490910351726936	-0.9862423381220833	0.22775969090651535	0.12583541152643585	0.11658643330256134	0.26523108360128694	-1.5032337104270652	-1.1554992873999743	-0.9279491699476924	-1.0947134744706435	0.43101898995843607	-0.5447107867457414	-2.005802094387492
Tss	2.0863632870807405	-0.21054302900486854	5.729412668390738	1.5599545889695003	1.4690329292602644	0.6918721974312733	3.0595888274567975	0.43935297036133303	0.25313084143277065	5.624452383813401	1.8511436007630795	5.006186896090942	3.764521626457311	0.43919757864770564	1.670417912075434	0.9913234948361921
Repr5	0.6369769284010729	-1.0787669018273645	-0.8544723178782158	-0.397566216943429	-0.7340184133806048	0.3217136013451608	0.1889034953348279	0.25930219604683186	0.9478187340274148	-0.8586346493847482	-0.6150451098586909	-0.7090233263109023	-0.7914485659600472	0.522713779286905	-0.4510721817286856	-1.3172614460215482
Repr2	0.694811075253045	0.12794707995375987	1.3044878584648993	0.4417013680117886	0.7745454250274894	1.019176795198924	0.28340389242577674	0.537246344987361	1.0805248826195704	1.377237988064344	0.7710184236686216	1.225343201620237	1.2928118000852107	0.5256839746186065	0.5047380640615159	0.43631858069265
PromF	1.5337218047178776	0.7430932063578756	1.514663130462378	0.7556925127089721	1.0226207170848636	1.5194221746600272	1.3794282915597436	0.6016685916538272	0.4746606946344694	1.8471272984597351	0.7906383685283777	2.1090583899676707	2.8807603301000104	0.5877312177178166	0.5678112013095504	1.0505072833824216
Gen5'	0.8296104968886542	1.6635305748247737	0.45537844734519384	1.0903548862109207	1.576581770630188	1.5123791631328392	1.1079341880858327	1.4267715468417468	0.31745372088577317	0.5273429965295167	1.3876446273299734	0.3199920891019013	1.1283252309941574	0.5709548009541344	1.2798486221286882	1.8437081437000953
TssF	2.322231516162115	1.0774033477678142	2.2280579899197077	1.2455878555139472	1.674668417568925	1.3411894688792203	2.7439279972253074	0.6617400695144455	0.43287694064308807	2.923934984428196	1.47767771010698	3.293763012318749	3.7908793272776777	0.6195815932795461	1.2438250506317485	1.6893049587065394
Low1	0.6109754701895926	-1.3247827272824488	-1.4256102223234566	-0.5584610952599144	-1.1125740278090697	0.23176597728245674	0.13831544632405798	0.1969954610109497	0.3668603102557436	-1.5136778849766295	-1.0398925218063384	-1.017014727076128	-1.2589488117137777	0.41425769530802353	-0.6383314032766129	-1.749128823653658
Low4	0.4867816592737267	1.241072809081941	0.8414456775928624	1.042792167828802	1.2710739483655578	0.3283433870293656	0.21216024076459555	0.5108840913658211	0.35673035382559176	0.6510533555738571	1.1456723804178897	0.4826863960897422	0.6497193285742858	0.29901476950106387	1.2204307582421823	1.1686855027806868
