concatenation_key	orig_label	(07) 5' flanking (1000-10000 bp)	(13) terminal exon	(09) initial exon	(04) H3K4me3	(02) H3K27me3	(08) 5' flanking (1-1000 bp)	(03) H3K36me3	(01) H3K9me3	(11) internal exons	(12) internal introns	(14) terminal intron	(16) 3' flanking (1000-10000 bp)	(10) initial intron	(15) 3' flanking (1-1000 bp)	(05) H3K27ac	(06) H3K4me1
segway_nar_HEPG2	EnhPr	1.2386402936537355	0.7896117616355204	0.4824931209812119	1.46140790225	0.603791483643	0.3557774918233117	0.715945647793	0.386704489857	0.8182433579480258	0.5750087080651324	0.9262295040226384	0.8131316160766853	2.405833220660366	0.8773884124922727	1.64846002985	2.35969535771
segway_nar_HEPG2	ElonW	-0.5642151817905161	0.3517594009782311	-0.7193940481168803	0.456259412141	0.150972043728	-0.7020510563264029	1.13928022558	0.423494416573	0.9091584058244567	1.3147226578730824	0.6470015307620968	0.33107110799217215	-0.49634985833523565	0.4704530406051244	0.316418818671	0.296566893091
segway_nar_HEPG2	Repr6	-0.6099433719827253	-0.4130083837502581	-0.7232888872895178	0.544334385232	0.929270168519	-0.7093097897225397	0.201051181873	0.60150816994	-1.2045365939623447	-1.0977194471712302	-0.6474841741849003	-0.3356810322932426	-0.6867778088479018	-0.22849879944789542	0.146722450694	0.215348841362
segway_nar_HEPG2	EnhW	-0.3307986347063264	-0.1972570554251498	-0.479002908911524	0.518429324863	0.383314362695	-0.5395061090027878	0.324373861726	0.504281815701	-1.0369975429313165	-0.7949884283378679	-0.325114578489359	-0.005545485287333997	0.09391903130599094	0.05080199290622369	0.336217326251	0.802125385044
segway_nar_HEPG2	PromP1	3.0709597369994066	1.2278742976865964	3.12408993591254	1.38635723311	1.27719461144	3.1061976703179046	0.234891362401	0.311156237432	1.1359541961098503	0.6782320392760393	1.4300521475329597	0.8363790953537634	2.3939193577772224	0.7899801577084113	0.359263343955	1.86215879333
segway_nar_HEPG2	Quies	-0.9453145797164004	-1.0729771213029267	-1.3972187126654882	0.440227368129	0.210380020729	-1.3342586287578937	0.143124289902	0.582444664438	-2.04935517649738	-1.4093750934230507	-0.9959978266488849	-0.6025044655829167	-1.0859220608515852	-0.6514557281130802	0.105627388147	0.114729467693
segway_nar_HEPG2	Repr3	-0.22892726595023374	0.24286330123996586	0.05560405109411683	0.508734790738	1.25358311188	-0.08808231306185277	0.274512696297	0.564417460409	-0.41899396759509977	-0.6710053494785723	-0.13421459969835917	0.0004618836228956072	-0.12285164025350886	0.0641971500195781	0.184480910117	0.377359311438
segway_nar_HEPG2	Gen5'1	0.05267897489775652	1.5729274733946152	0.33923943204117357	0.494362015876	0.240968569631	0.25485764088088314	1.906074859	0.405454148439	2.19975357622277	1.9427535601291062	1.7236146803953991	1.501387734103403	0.6967543232878413	1.29049810571124	0.920034783177	1.18356516176
segway_nar_HEPG2	Gen5'2	0.03869350856957907	1.5566759348142407	0.29859838756297624	0.338470365384	0.178305646346	0.25656631442522326	1.7514920142	0.31180216134	2.5208167002482638	2.3862525140018693	1.8975914342961457	1.3663268577459715	0.3315312459570625	1.1334046009339012	0.433794710732	0.492688322665
segway_nar_HEPG2	Low4	0.29739041307849995	0.41389043022664684	0.4528239010591097	0.312098659434	0.340426164641	0.6045784940608457	0.223336239771	0.475825034836	0.1920420757977234	0.1677759402581646	0.3663823977895293	0.31470454199993025	0.1969878851310597	0.18366099320767088	0.119524467145	0.23293355873
