reg	true_label	predicted_label	prob	assignments
6	Promoter	ConstitutiveHet	-inf	0
6	Transcribed	Enhancer	-inf	0
6	Transcribed	FacultativeHet	-inf	0
6	Transcribed	Bivalent	-inf	0
6	Transcribed	Promoter	-inf	0
6	Transcribed	Unclassified	-inf	2
6	Transcribed	Quiescent	-inf	1
6	Transcribed	RegPermissive	-inf	0
6	Transcribed	Transcribed	-17.4692832066	33
6	Transcribed	ConstitutiveHet	-inf	0
6	ConstitutiveHet	Enhancer	-inf	0
6	ConstitutiveHet	FacultativeHet	-29.0979224715	2
6	ConstitutiveHet	Bivalent	-inf	0
6	ConstitutiveHet	Promoter	-inf	0
6	ConstitutiveHet	Unclassified	-inf	1
6	ConstitutiveHet	Quiescent	-28.3234909266	7
6	ConstitutiveHet	RegPermissive	-inf	2
6	ConstitutiveHet	Transcribed	-inf	1
6	ConstitutiveHet	ConstitutiveHet	-31.3804217657	3
8	Enhancer	Enhancer	-20.317185587	4
8	Enhancer	FacultativeHet	-inf	0
8	Enhancer	Bivalent	-inf	0
8	Enhancer	Promoter	-inf	0
8	Enhancer	Unclassified	-46.4977221938	0
8	Enhancer	Quiescent	-inf	0
8	Enhancer	RegPermissive	-14.2732113846	11
8	Enhancer	Transcribed	-inf	0
8	Enhancer	ConstitutiveHet	-inf	0
8	Bivalent	Enhancer	-inf	0
8	Bivalent	FacultativeHet	-inf	1
8	Bivalent	Bivalent	-19.8988786747	5
8	Bivalent	Promoter	-inf	2
8	Bivalent	Unclassified	-inf	0
8	Bivalent	Quiescent	-inf	0
8	Bivalent	RegPermissive	-19.0750027936	5
8	Bivalent	Transcribed	-inf	0
8	Bivalent	ConstitutiveHet	-inf	0
8	FacultativeHet	Enhancer	-inf	0
8	FacultativeHet	FacultativeHet	-39.3769763452	20
8	FacultativeHet	Bivalent	-inf	2
8	FacultativeHet	Promoter	-inf	0
8	FacultativeHet	Unclassified	-86.0499522482	1
8	FacultativeHet	Quiescent	-inf	4
8	FacultativeHet	RegPermissive	-64.7449483974	4
8	FacultativeHet	Transcribed	-inf	0
8	FacultativeHet	ConstitutiveHet	-inf	1
8	RegPermissive	Enhancer	-inf	1
8	RegPermissive	FacultativeHet	-102.216745483	5
8	RegPermissive	Bivalent	-inf	2
8	RegPermissive	Promoter	-inf	4
8	RegPermissive	Unclassified	-inf	1
8	RegPermissive	Quiescent	-inf	0
8	RegPermissive	RegPermissive	-47.5395179222	28
8	RegPermissive	Transcribed	-inf	1
8	RegPermissive	ConstitutiveHet	-inf	1
8	Unclassified	Enhancer	-inf	0
8	Unclassified	FacultativeHet	-inf	5
8	Unclassified	Bivalent	-inf	0
8	Unclassified	Promoter	-inf	0
8	Unclassified	Unclassified	-inf	5
8	Unclassified	Quiescent	-inf	2
8	Unclassified	RegPermissive	-43.6618724809	3
8	Unclassified	Transcribed	-inf	5
8	Unclassified	ConstitutiveHet	-inf	0
8	Quiescent	Enhancer	-inf	0
8	Quiescent	FacultativeHet	-inf	2
8	Quiescent	Bivalent	-inf	0
8	Quiescent	Promoter	-inf	0
8	Quiescent	Unclassified	-103.4005783	1
8	Quiescent	Quiescent	-28.8297173479	26
8	Quiescent	RegPermissive	-inf	3
8	Quiescent	Transcribed	-inf	1
8	Quiescent	ConstitutiveHet	-67.3318328892	0
8	Promoter	Enhancer	-inf	0
8	Promoter	FacultativeHet	-46.5892165419	0
8	Promoter	Bivalent	-31.9543184691	2
8	Promoter	Promoter	-inf	8
8	Promoter	Unclassified	-inf	0
8	Promoter	Quiescent	-inf	0
8	Promoter	RegPermissive	-19.8521752374	5
8	Promoter	Transcribed	-inf	0
8	Promoter	ConstitutiveHet	-inf	0
8	Transcribed	Enhancer	-inf	0
8	Transcribed	FacultativeHet	-inf	0
8	Transcribed	Bivalent	-inf	0
8	Transcribed	Promoter	-inf	0
8	Transcribed	Unclassified	-inf	0
8	Transcribed	Quiescent	-inf	0
8	Transcribed	RegPermissive	-inf	2
8	Transcribed	Transcribed	-18.8271322608	34
8	Transcribed	ConstitutiveHet	-inf	0
8	ConstitutiveHet	Enhancer	-inf	0
8	ConstitutiveHet	FacultativeHet	-28.2813564885	2
8	ConstitutiveHet	Bivalent	-inf	0
8	ConstitutiveHet	Promoter	-inf	0
8	ConstitutiveHet	Unclassified	-41.5619347551	2
8	ConstitutiveHet	Quiescent	-29.4719745889	8
8	ConstitutiveHet	RegPermissive	-inf	2
8	ConstitutiveHet	Transcribed	-inf	1
8	ConstitutiveHet	ConstitutiveHet	-32.2134662949	1
10	Enhancer	Enhancer	-20.0882890801	3
10	Enhancer	FacultativeHet	-41.1582407263	0
10	Enhancer	Bivalent	-inf	0
10	Enhancer	Promoter	-inf	0
10	Enhancer	Unclassified	-49.6864353145	0
10	Enhancer	Quiescent	-inf	0
10	Enhancer	RegPermissive	-13.2528378684	12
10	Enhancer	Transcribed	-inf	0
10	Enhancer	ConstitutiveHet	-inf	0
10	Bivalent	Enhancer	-inf	0
10	Bivalent	FacultativeHet	-30.8460556678	1
10	Bivalent	Bivalent	-21.055308069	5
10	Bivalent	Promoter	-20.6303338442	2
10	Bivalent	Unclassified	-inf	0
10	Bivalent	Quiescent	-inf	0
10	Bivalent	RegPermissive	-19.021813904	5
10	Bivalent	Transcribed	-inf	0
10	Bivalent	ConstitutiveHet	-inf	0
10	FacultativeHet	Enhancer	-inf	0
10	FacultativeHet	FacultativeHet	-43.4475933231	18
10	FacultativeHet	Bivalent	-inf	2
10	FacultativeHet	Promoter	-inf	0
10	FacultativeHet	Unclassified	-89.7738716043	0
10	FacultativeHet	Quiescent	-inf	5
10	FacultativeHet	RegPermissive	-58.6122382354	6
10	FacultativeHet	Transcribed	-inf	0
10	FacultativeHet	ConstitutiveHet	-inf	1
10	RegPermissive	Enhancer	-inf	3
